time,IPLA,IPref,ECEcore,SSXcore,LI,Q95,ZMAG,Vloop,IPE,Instability,Window
0.134,-245970.31,-0.030765533,598.0039,0.0022888929,0.5927335,13.832668,-0.0012416292,-6.3302636,-245970.28,0,6
0.135,-245343.61,-0.030765533,598.0039,0.0025940835,0.5927335,13.832668,-0.0012416292,-5.812766,-245343.58,0,6
0.136,-246914.81,-0.030765533,598.0039,0.0018311292,0.5927335,13.832668,-0.0012416292,-6.131995,-246914.78,0,6
0.137,-244183.3,-0.030765533,598.0039,0.0024414957,0.5927335,13.832668,-0.0012416292,-6.847761,-244183.27,0,6
0.138,-243172.03,-0.030765533,598.0039,0.0024414957,0.5927335,13.832668,-0.0012416292,-6.4495583,-243172.0,0,6
0.139,-243011.42,-0.030765533,598.0039,0.0018311143,0.5927335,13.832668,-0.0012416292,-6.4099045,-243011.39,0,6
0.14,-242532.8,-0.030765533,598.0039,0.0027466714,0.8292472,11.138992,-0.015457825,-5.614497,-242532.77,0,6
0.141,-242577.34,-0.030765533,598.0039,0.0028992593,0.8292472,11.138992,-0.015457825,-6.29061,-242577.31,0,6
0.142,-241916.56,-0.030765533,598.0039,0.0015259385,0.8292472,11.138992,-0.015457825,-6.1316624,-241916.53,0,7
0.143,-242285.5,-0.030765533,598.0039,0.0024414808,0.8292472,11.138992,-0.015457825,-5.773779,-242285.47,0,7
0.144,-240839.23,-0.030765533,598.0039,0.0022889078,0.8292472,11.138992,-0.015457825,-6.2512894,-240839.2,0,7
0.145,-240496.9,-0.030765533,598.0039,0.0015259385,0.8292472,11.138992,-0.015457825,-6.2512894,-240496.88,0,7
0.146,-238007.66,-0.030765533,598.0039,0.0027466714,0.8292472,11.138992,-0.015457825,-6.569852,-238007.62,0,7
0.147,-237799.62,-0.030765533,598.0039,0.0033570528,0.8292472,11.138992,-0.015457825,-6.3315964,-237799.6,0,7
0.148,-237438.84,-0.030765533,598.0039,0.0016785264,0.8292472,11.138992,-0.015457825,-6.291276,-237438.81,0,7
0.149,-233787.44,-0.030765533,598.0039,0.0025940835,0.8292472,11.138992,-0.015457825,-8.679496,-233787.4,0,7
0.15,-236495.27,-0.030765533,598.0039,0.0022888929,0.8292472,11.138992,-0.015457825,-6.0123677,-236495.23,0,7
0.151,-236270.58,-0.030765533,598.0039,0.0016785264,0.8292472,11.138992,-0.015457825,-5.932727,-236270.55,0,7
0.152,-234768.27,-0.030765533,598.0039,0.0027466714,0.8292472,11.138992,-0.015457825,-6.331263,-234768.23,0,7
0.153,-235527.98,-0.030765533,598.0039,0.002136305,0.8292472,11.138992,-0.015457825,-5.6938047,-235527.95,0,7
0.154,-233775.12,-0.030765533,598.0039,0.0012207478,0.8292472,11.138992,-0.015457825,-6.4495583,-233775.1,0,7
0.155,-233643.47,-0.030765533,598.0039,0.0025940835,0.8292472,11.138992,-0.015457825,-6.3309298,-233643.44,0,7
0.156,-232070.92,-0.030765533,598.0039,0.0030518472,0.8292472,11.138992,-0.015457825,-6.3702507,-232070.89,0,7
0.157,-231355.83,-0.030765533,598.0039,0.0028992742,0.8292472,11.138992,-0.015457825,-6.0530205,-231355.8,0,7
0.158,-231247.61,-0.030765533,598.0039,0.0027466714,0.8292472,11.138992,-0.015457825,-6.131995,-231247.58,0,7
0.159,-229989.8,-0.030765533,598.0039,0.0030518621,0.8292472,11.138992,-0.015457825,-6.4512234,-229989.77,0,7
0.16,-229907.5,-0.030765533,598.0039,0.001983717,0.8292472,11.138992,-0.015457825,-6.2512894,-229907.47,0,7
0.161,-230809.83,-0.030765533,598.0039,0.0028992742,0.8292472,11.138992,-0.015457825,-6.2516227,-230809.8,0,7
0.162,-229821.7,-0.030765533,598.0039,0.0025940835,0.8292472,11.138992,-0.015457825,-6.132328,-229821.67,0,8
0.163,-227593.52,-0.030765533,598.0039,0.0027466714,0.8292472,11.138992,-0.015457825,-6.6498256,-227593.48,0,8
0.164,-228224.52,-0.030765533,598.0039,0.0024414957,0.8292472,11.138992,-0.015457825,-6.3705835,-228224.48,0,8
0.165,-228936.69,-0.030765533,598.0039,0.0024414957,0.8292472,11.138992,-0.015457825,-5.694138,-228936.66,0,8
0.166,-228512.08,-0.030765533,598.0039,0.0027466714,0.8292472,11.138992,-0.015457825,-6.1326613,-228512.05,0,8
0.167,-227941.9,-0.030765533,598.0039,0.00320445,0.8292472,11.138992,-0.015457825,-5.57551,-227941.88,0,8
0.168,-227895.12,-0.030765533,598.0039,0.0025940835,0.9834334,9.092499,-0.013183804,-5.932727,-227895.1,0,8
0.169,-227537.52,-0.030765533,598.0039,0.0025940835,0.9834334,9.092499,-0.013183804,-5.7734456,-227537.48,0,8
0.17,-226483.27,-0.030765533,598.0039,0.0022889078,0.9834334,9.092499,-0.013183804,-5.8534193,-226483.23,0,8
0.171,-227972.89,-0.030765533,598.0039,0.0022889078,0.9834334,9.092499,-0.013183804,-5.6141644,-227972.86,0,8
0.172,-226641.16,-0.030765533,598.0039,0.0027466714,0.9834334,9.092499,-0.013183804,-6.1326613,-226641.12,0,8
0.173,-226358.28,-0.030765533,598.0039,0.0025940835,0.9834334,9.092499,-0.013183804,-5.45455,-226358.25,0,8
